Candidate_ID,SMILES,IFG_Score,Novelty_Tc,Scaffold,MW,LogP,PAINS_Flag,Residue_Map,Rationale
IFG-V5-LAB-100,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.965,0.26,Core_0,466.9,2.86,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-101,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.969,0.262,Core_1,445.7,4.13,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-102,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.976,0.202,Core_2,473.1,2.71,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-103,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.968,0.296,Core_3,443.6,3.68,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-104,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.945,0.283,Core_4,497.9,3.08,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-105,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.967,0.214,Core_5,443.7,3.16,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-106,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.989,0.261,Core_6,476.5,3.21,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-107,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.943,0.239,Core_7,514.4,3.51,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-108,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.974,0.207,Core_0,469.6,3.09,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-109,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.93,0.269,Core_1,458.5,2.78,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
